,Title,Director,Year,Country
114,Dead Sands,Ameera Al-Qaed,2013,Norway
115,Dead Snow,Tommy Wirkola,2009,USA
116,Dead Space: Downfall,Chuck Patton,2008,USA
117,Dead Within,Kent Green,2002,USA
118,Deadgirl,"Marcel Sarmiento & Gadi Harel",2008,USA
119,Deadheads,"Brett Pierce, Drew T. Pierce",2011,USA
120,Deadly Friend,Wes Craven,1986,"Australia, New Zealand"
121,Death Warmed Up,David Blyth,1984,"UK, Germany"
122,Deathwatch,M.J. Bassett,2002,USA
123,Decay,Joseph Wartnerchaney,2015,"USA, Canada"
124,Deep River: The Island,Ben Bachelder,2009,Chile
125,Descendents,Jorge Olguín,2008,USA
126,Detention of the Dead,Alex Craig Mann,2012,USA
127,The Devil's Daughter,Jeannot Szwarc,1973,UK
128,Devil's Playground,Mark McQueen,2010,USA
129,Diary of the Dead,George A. Romero,2007,USA
130,Die-ner (Get It?),Patrick Horvath,2009,USA
131,Die You Zombie Bastards!,Caleb Emerson,2005,Sweden
132,Die Zombiejäger,Jonas Wolcher,2005,Japan
133,The Discarnates,Nobuhiko Ôbayashi,1988,India
134,Do Gaz Zameen Ke Neeche,Tulsi Ramsay,1972,USA
135,Doc of the Dead,Alexandre O. Philippe,2014,UK
136,Doctor Blood's Coffin,Sidney J. Furie,1961,UK
137,Doghouse,Jake West,2009,USA
138,Don't Go in the House,Joseph Ellison,1979,"UK, Czech Republic, Germany, USA"
139,Doom,Andrzej Bartkowiak,2005,USA
140,Dorm of the Dead,Donald Farmer,2006,Mexico
141,Dr. Satán y la magia negra,Rogelio A. González,1968,USA
142,Dylan Dog: Dead of Night,Kevin Munroe,2010,UK
143,The Earth Dies Screaming,Terence Fisher,1964,USA
144,Eat Me!,Katie Carman-Lehach,2010,"USA, UK"
145,Ed and His Dead Mother,Jonathan Wacks,1993,USA
146,Edges of Darkness,"Blaine Cade, J. Horton",2008,"Germany, Austria"
147,Endzeit,Sebastian Fritzsch,2013,Italy
148,Erotic Nights of the Living Dead,Joe D'Amato,1980,"Sweden, Denmark"
149,Evil,Mikael Håfström,2003,USA
150,Evil Head,Doug Sakmann,2012,Greece
151,Evil - In the Time of Heroes,Giorgos Nousias,2009,Canada
152,Exhumed,Brian Clement,2003,Canada
153,Exit Humanity,John Geddes,2011,USA
154,Extinction,Ben Young,2018,USA
155,Fading of the Cries,Steven Maguire,2008,Canada
156,Fantasy Island,N/A,1977,USA
157,Fido,Andrew Currie,2006,UK
158,FleshEater,S. William Hinzman,1988,USA
159,Flick,David Howard,2008,Canada
160,The Fog,John Carpenter,1980,USA
161,Forest of the Dead,Brian Singleton,2007,USA
162,The Four Skulls of Jonathan Drake,Edward L. Cahn,1959,USA
163,Frankenhooker,Frank Henenlotter,1990,"Netherlands, USA, Czech Republic"
164,Frankenstein Island,Jerry Warren,1981,USA
165,Frankenstein's Army,Richard Raaphorst,2013,USA
166,Freaks of Nature,Robbie Pickering,2015,"USA, UK"
167,The Frozen Dead,N/A,2016,USA
168,Frozen Scream,Frank Roach,1975,USA
169,Gallowwalkers,Andrew Goth,2012,Spain
170,Garden of the Dead,John Hayes,1972,USA
171,The Ghost Breakers,George Marshall,1940,UK
172,The Ghost Galleon,Amando de Ossorio,1974,India
173,The Ghouls,Chad Ferrin,2003,France
174,The Girl with All the Gifts,Colm McCarthy,2016,USA
175,Go Goa Gone,"Krishna D.K., Raj Nidimoru",2013,USA
176,Goal of the Dead,"Thierry Poiraud, Benjamin Rocher",2014,South Korea
177,Gory Gory Hallelujah,Sue Corcoran,2003,"Spain, Italy"
178,Grave Mistake,Shawn Darling,2008,"Italy, Spain"
179,The Guard Post,Su-chang Kong,2008,USA
180,The Hanging Woman,José Luis Merino,1973,USA
181,Hell of the Living Dead,"Bruno Mattei, Claudio Fragasso",1980,USA
182,Here Alone,Rod Blackhurst,2016,USA
183,Hide and Creep,"Chuck Hartsell, Chance Shirley",2004,France
184,The Hive,David Yarovesky,2014,"UK, Spain"
185,Hood of the Living Dead,"Eduardo Quiroz, Jose Quiroz",2005,USA
186,The Horde,"Yannick Dahan, Benjamin Rocher",2009,Spain
187,Horror Express,Eugenio Martín,1972,USA
188,The Horror of Party Beach,Del Tenney,1964,USA
189,Horror Rises from the Tomb,Carlos Aured,1973,Italy
190,Horrors of War,"Peter John Ross, John Whitney",2006,USA
191,Horrorween,Joe Estevez,2011,"Germany, Canada, USA"
192,The House by the Cemetery,Lucio Fulci,1981,USA
193,House of the Damned,Maury Dexter,1963,USA
194,House of the Dead,Uwe Boll,2003,USA
195,House of the Dead 2,Michael Hurst,2005,Japan
196,The House of Seven Corpses,Paul Harrison,1974,USA
197,Hysterical,Chris Bearde,1983,USA
198,I Am a Hero,Shinsuke Sato,2015,USA
199,I Am Legend,Francis Lawrence,2007,UK
200,I Am Omega,Griff Furst,2007,USA
201,I Eat Your Skin,Del Tenney,1971,New Zealand
202,Inmate Zero,Russell Owen,2020,USA
203,I Sell the Dead,Glenn McQuaid,2008,USA
204,I Survived a Zombie Holocaust,Guy Pigden,2014,USA
205,I Walked with a Zombie,Jacques Tourneur,1943,UK
206,I Was a Teenage Zombie,John Elias Michalakis,1987,USA
207,I Was a Zombie for the F.B.I.,Marius Penczner,1982,USA
208,I Zombie: The Chronicles of Pain,Andrew Parkinson,1998,Mexico
209,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,Ray Dennis Steckler,1964,USA
210,Insanitarium,Jeff Buhler,2008,Mexico
211,Blue Demon y Zovek en La invasión de los muertos,René Cardona,1973,"USA, Canada"
212,Invisible Invaders,Edward L. Cahn,1959,Israel
213,Isle of the Snake People,"Juan Ibáñez, Jack Hill",1971,"Spain, Cuba"
214,It Stains the Sands Red,Colin Minihan,2016,Japan
